-3.677880180647170594e-01,1.700850048958027383e+00
9.459622451620599559e-01,4.322512250589548299e-02
-2.577169427724337325e-01,1.866189793040018197e+00
-8.045999261993028728e-01,1.450723280825845198e-05
3.542681278339590012e-01,3.920844675543972424e-01
9.727641707617433742e-01,2.857845906462091329e-02
6.885343743345060386e-01,2.546522994521512873e-01
4.095900083959813642e-02,8.721424601376082109e-01
5.371780973089816946e-01,3.213417074284116159e-01
-5.062403900211351893e-01,7.631247200880040271e-01
